source_record_id,sort_key,reason,verified_by,verified_at
KR-K4-K126,044,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K127,045,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K128,046,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K129,047,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K130,048,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K131,049,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K132,050,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K133,051,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K134,052,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K135,053,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K136,054,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K137,055,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
KR-K4-K138,056,"경의중앙선 본선 재정렬. 위 KR-K4-K338 사유와 동일.",user,2026-09-14
AR-A1-A042,A04-2,"공항철도 역번호 표기 규칙(사용자 확인, 나무위키 인천국제공항철도/역 목록): 번호가 두 자리(A10, A11)가 되면 A 다음 숫자 그대로 이어지지만, 0이 앞에 붙은 세 자리 번호(A042·A071·A072)는 셋째 자리가 하이픈 뒤 번호(A04-2·A07-1·A07-2)와 같은 역할이다 — 숫자값으로 자연정렬하면 42·71·72라 종점(A11) 뒤로 밀려나므로 마곡나루(A042)는 디지털미디어시티(A04)와 김포공항(A05) 사이다.",user,2026-09-22
AR-A1-A071,A07-1,"공항철도 역번호 표기 규칙(사용자 확인, 나무위키 인천국제공항철도/역 목록): 번호가 두 자리(A10, A11)가 되면 A 다음 숫자 그대로 이어지지만, 0이 앞에 붙은 세 자리 번호(A042·A071·A072)는 셋째 자리가 하이픈 뒤 번호(A04-2·A07-1·A07-2)와 같은 역할이다 — 숫자값으로 자연정렬하면 42·71·72라 종점(A11) 뒤로 밀려나므로 청라국제도시(A071)는 검암(A07)과 영종(A072) 사이다.",user,2026-09-22
AR-A1-A072,A07-2,"공항철도 역번호 표기 규칙(사용자 확인, 나무위키 인천국제공항철도/역 목록): 번호가 두 자리(A10, A11)가 되면 A 다음 숫자 그대로 이어지지만, 0이 앞에 붙은 세 자리 번호(A042·A071·A072)는 셋째 자리가 하이픈 뒤 번호(A04-2·A07-1·A07-2)와 같은 역할이다 — 숫자값으로 자연정렬하면 42·71·72라 종점(A11) 뒤로 밀려나므로 영종(A072)은 청라국제도시(A071)와 운서(A08) 사이다.",user,2026-09-22
KR-1-100-3,099-1,"1호선 연천~소요산 구간 역번호는 소요산(100)에서 북쪽으로 갈수록 하이픈 뒤 숫자가 커진다(청산 100-1 → 전곡 100-2 → 연천 100-3, 사용자 확인, 나무위키 수도권 전철 1호선/역 목록). 자연정렬하면 100<100-1<100-2<100-3<101이라 실제 순서(연천→전곡→청산→소요산)와 정반대로 소요산 뒤에 내림차순으로 붙어 버리므로, 100보다 앞서면서 북쪽(연천)이 먼저 오도록 정렬 전용 키를 부여한다. 연천(100-3)은 이 구간의 맨 앞(북쪽 끝)이다.",user,2026-09-26
KR-1-100-2,099-2,"1호선 연천~소요산 구간 역번호는 소요산(100)에서 북쪽으로 갈수록 하이픈 뒤 숫자가 커진다(청산 100-1 → 전곡 100-2 → 연천 100-3, 사용자 확인, 나무위키 수도권 전철 1호선/역 목록). 자연정렬하면 100<100-1<100-2<100-3<101이라 실제 순서(연천→전곡→청산→소요산)와 정반대로 소요산 뒤에 내림차순으로 붙어 버리므로, 100보다 앞서면서 북쪽(연천)이 먼저 오도록 정렬 전용 키를 부여한다. 전곡(100-2)은 연천 다음이다.",user,2026-09-26
KR-1-100-1,099-3,"1호선 연천~소요산 구간 역번호는 소요산(100)에서 북쪽으로 갈수록 하이픈 뒤 숫자가 커진다(청산 100-1 → 전곡 100-2 → 연천 100-3, 사용자 확인, 나무위키 수도권 전철 1호선/역 목록). 자연정렬하면 100<100-1<100-2<100-3<101이라 실제 순서(연천→전곡→청산→소요산)와 정반대로 소요산 뒤에 내림차순으로 붙어 버리므로, 100보다 앞서면서 북쪽(연천)이 먼저 오도록 정렬 전용 키를 부여한다. 청산(100-1)은 전곡 다음, 소요산(100) 바로 앞이다.",user,2026-09-26
